,title,date,keywords_textrank,ai_entity,day,month,year,status
648,BMW envisions AI-powered electric bike lanes,2017-11-23,"['bmw', 'bike', 'city', 'expo', 'innovative', 'innovation']",information extraction,23,11,2017,precovid
649,Newsroom AI launches customisable newsfeed platform for news publishers,2017-11-23,"['platform', 'content', 'publisher', 'expo', 'user']",pattern recognition,23,11,2017,precovid
650,AI can be used to build virtual worlds,2017-11-24,"['use ai', 'game', 'gaming', 'expo', 'like']",data mining,24,11,2017,precovid
651,The Military Should Teach Artificial Intelligence to Watch Drone Footage,2017-11-26,"['drone video', 'military', 'review', 'reviewed', 'billion']",virtual reality,26,11,2017,precovid
652,An Old Technique Could Put Artificial Intelligence in Your Hearing Aid,2017-11-27,"['analog', 'like', 'chip', 'device', 'mythic']",speech generating device,27,11,2017,precovid
653,"Nvidia, GE Healthcare, and Nuance harness AI to improve radiology",2017-11-27,"['ai', 'nvidia', 'healthcare', 'use', 'imaging', 'image']",game artificial intelligence,27,11,2017,precovid
654,Editorial: Facebook excluding the EU from AI advancement heralds a trend,2017-11-28,"['data', 'facebook', 'facebooks', 'regulate', 'eu regulation', 'ai']",automatic number plate recognition,28,11,2017,precovid
655,Building the hardware for the next generation of artificial intelligence,2017-11-30,"['hardware', 'say', 'student', 'learns', 'deep learning']",deep learning,30,11,2017,precovid
656,‘Robot Ethics Charter’ drawn up — as report claims US at risk of losing AI arms race,2017-11-30,"['ai', 'u', 'expo', 'russian', 'robot']",robotics,30,11,2017,precovid
657,"Google, Amazon Find Not Everyone Is Ready for Artificial Intelligence",2017-12-01,"['ai', 'amazon', 'company', 'cloud', 'say', 'saying']",artificial life,1,12,2017,precovid
658,Research: AI mimics the human brain’s subconscious,2017-12-05,"['research', 'make', 'making', 'decision', 'expo', 'u']",data mining,5,12,2017,precovid
659,Try this! Researchers devise better recommendation algorithm,2017-12-06,"['algorithm', 'algorithmic', 'rated', 'rate', 'similar rating', 'movie', 'similarity', 'researcher', 'research']",artificial life,6,12,2017,precovid
660,"Netflix wants to feed your binge with personalised, AI-powered trailers",2017-12-06,"['content', 'trailer', 'expo', 'netflix', 'like', 'likely']",virtual reality,6,12,2017,precovid
661,Alphabet's Latest AI Show Pony Has More Than One Trick,2017-12-06,"['game', 'alphazero', 'deepmind', 'program', 'programmed', 'learn', 'learns', 'learning']",machine learning,6,12,2017,precovid
662,The AI Company That Helps Boeing Cook New Metals for Jets,2017-12-06,"['material', 'algorithm', 'data', 'powder', 'citrine']",activity recognition,6,12,2017,precovid
663,Inside Baidu’s Bid to Lead the AI Revolution,2017-12-06,"['baidu', 'li', 'company', 'ai', 'technology']",object recognition,6,12,2017,precovid
664,Artificial Intelligence Seeks An Ethical Conscience,2017-12-07,"['researcher', 'research', 'ai', 'crawford', 'learned', 'machine learning']",machine learning,7,12,2017,precovid
665,Google Is Giving Away AI That Can Build Your Genome Sequence,2017-12-08,"['google', 'deepvariant', 'genome', 'genomic', 'genomics', 'sequencing', 'sequence', 'sequencer', 'depristo']",speech generating device,8,12,2017,precovid
666,Musk: Tesla is building its own AI chips,2017-12-08,"['ai', 'tesla', 'musk', 'company', 'expo']",artificial life,8,12,2017,precovid
667,Musk Says Tesla Is Building Its Own Chip for Autopilot,2017-12-08,"['ai', 'musk', 'tesla', 'chip', 'company']",artificial life,8,12,2017,precovid
668,Apple Executive Reveals More of Its Self-Driving Technology,2017-12-09,"['apple', 'car', 'salakhutdinov', 'ai', 'map', 'mapping']",artificial life,9,12,2017,precovid
669,Reading a neural network’s mind,2017-12-10,"['network', 'layer', 'translation', 'translate', 'researcher', 'research', 'semantic', 'semantics']",semantic search,10,12,2017,precovid
670,Computer systems predict objects’ responses to physical forces,2017-12-13,"['object', 'data', 'model', 'physical', 'physic', 'visual']",object recognition,13,12,2017,precovid
671,AI legend Andrew Ng wants to revolutionise manufacturing with Landing.ai,2017-12-14,"['ai', 'manufacturer', 'manufacturing new', 'expo', 'job']",machine learning,14,12,2017,precovid
672,Unlocking marine mysteries with artificial intelligence,2017-12-14,"['student', 'ocean', 'robot', 'robotics', 'robotic', 'work', 'working', 'charles']",robotics,14,12,2017,precovid
673,Artificial Intelligence Is Killing the Uncanny Valley and Our Grasp on Reality,2017-12-16,"['new', 'algorithm', 'algorithmic', 'algorithmically', 'video', 'machine', 'horse']",machine learning,16,12,2017,precovid
674,Researchers Made Google's Image Recognition AI Mistake a Rifle For a Helicopter,2017-12-20,"['algorithm', 'research', 'researcher', 'google', 'adversarial example']",e-mail spam filtering,20,12,2017,precovid
675,"Sorry, Congress: Your Tax Bill Won't Create the Jobs of the Future",2017-12-20,"['human', 'humanity', 'corporation', 'corporate', 'job', 'machine', 'cash']",machine learning,20,12,2017,precovid
676,"Where VC's Will Invest in 2018: Blockchain, AI, Voice, Pets",2017-12-20,"['company', 'startup investor', 'say', 'venture']",semantic translation,20,12,2017,precovid
677,Huawei and Baidu form alliance to lead in AI-powered smartphones,2017-12-21,"['ai', 'huawei baidu', 'expo', 'smartphones', 'smartphone']",artificial life,21,12,2017,precovid
678,Can computers help us synthesize new materials?,2017-12-21,"['material', 'recipe', 'researcher', 'research', 'trained', 'training data']",data mining,21,12,2017,precovid
679,"As Artificial Intelligence Advances, Here Are Five Tough Projects for 2018",2017-12-21,"['robot', 'learned', 'learn', 'software', 'world machine learning']",machine learning,21,12,2017,precovid
680,AI Is Fueling Smarter Prosthetics Than Ever Before,2017-12-22,"['arm', 'prosthetic', 'prosthetics', 'capable', 'courtesy', 'hand']",chatbots,22,12,2017,precovid
681,2017 Was The Year We Fell Out of Love with Algorithms,2017-12-26,"['algorithm', 'algorithmic', 'say', 'thing', 'facebook', 'company']",facial recognition,26,12,2017,precovid
682,Health Care Is Hemorrhaging Data. AI Is Here to Help,2017-12-30,"['ai', 'health care', 'data', 'new']",semantic search,30,12,2017,precovid
683,Why Artificial Intelligence Is Not Like Your Brain—Yet,2018-01-03,"['drinking', 'ai', 'like drink', 'talking', 'talk', 'resembles']",language identification,3,1,2018,precovid
684,Gridsum and Peking University Law School team up for legal AI lab and research institute,2018-01-03,"['ai', 'china based', 'research', 'expo']",semantic search,3,1,2018,precovid
685,The Most-Read Backchannel Stories of 2017,2018-01-04,"['year', 'tech', 'production', 'product', 'august', 'happen', 'happens']",object recognition,4,1,2018,precovid
686,Constable Alexa: Police consider using Amazon’s AI to fight crime,2018-01-04,"['policing', 'police', 'expo', 'public', 'service', 'information']",information extraction,4,1,2018,precovid
687,This AI-Fortified Bot Will Build the First Homes for Humans on Mars,2018-01-05,"['justin', 'bot', 'object', 'pound', 'solar']",object recognition,5,1,2018,precovid
688,Samsung Electronics advances premium AP Exynos 9 Series 9810 for AI applications,2018-01-05,"['expo', 'product', 'series samsung', 'connectivity', 'connected']",activity recognition,5,1,2018,precovid
689,Nvidia seeks pole position in AI for connected cars with DRIVE Xavier SoC,2018-01-08,"['driving', 'drive', 'nvidia', 'xavier', 'expo', 'new']",data mining,8,1,2018,precovid
690,Implementing innovation: How advanced analytics and AI are improving patient care,2018-01-08,"['data', 'patient', 'deliver', 'delivering', 'ai', 'technology']",named-entity extraction,8,1,2018,precovid
691,Rubikloud secures $37 million for expansion of retail AI solutions,2018-01-09,"['retailer', 'rubikloud', 'retail ai', 'automated', 'automation', 'revenue']",automation,9,1,2018,precovid
692,Report: AI will increase the wealth inequality between the rich and poor,2018-01-11,"['ai', 'expo', 'research', 'researcher', 'report', 'technological', 'technology']",object recognition,11,1,2018,precovid
693,Nuance exhibits conversational AI-powered solutions at CES 2018,2018-01-12,"['nuance', 'ai powered', 'power', 'expo', 'assistant']",semantic translation,12,1,2018,precovid
694,Report: AI can help to keep the NHS alive,2018-01-15,"['ai', 'nh', 'data', 'use', 'expo']",artificial life,15,1,2018,precovid
695,3Q: D. Fox Harrell on his video game for the #MeToo era,2018-01-19,"['game', 'like', 'sexism', 'model', 'category']",automatic target recognition,19,1,2018,precovid
696,Engineers design artificial synapse for “brain-on-a-chip” hardware,2018-01-22,"['artificial', 'synapse', 'neuron', 'kim', 'researcher', 'research']",artificial life,22,1,2018,precovid
697,Morality algorithm proves AI can also be friendly,2018-01-22,"['ai', 'human', 'expo', 'u game']",computer game,22,1,2018,precovid
698,Bots that talk more like people,2018-01-23,"['platform', 'converse', 'conversation', 'orkin', 'chatbots', 'chatbot', 'game']",chatbots,23,1,2018,precovid
699,"Tencent Software Beats Go Champ, Showing China's AI Gains",2018-01-23,"['china', 'ai', 'alphabet', 'say', 'alphago']",machine learning,23,1,2018,precovid
700,Play Labs accelerator announces second annual open call for submissions,2018-01-24,"['startup', 'play lab mit', 'program', 'playful']",e-mail spam filtering,24,1,2018,precovid
701,Darpa Wants to Build an Image Search Engine out of DNA,2018-01-24,"['dna', 'image', 'data', 'computing', 'computational', 'encode', 'encoded', 'encoding']",automation,24,1,2018,precovid
702,Don’t Make Artificial Intelligence Artificially Stupid in the Name of Transparency,2018-01-28,"['optimization', 'optimize', 'optimized', 'optimal', 'machine learning', 'result', 'car']",machine learning,28,1,2018,precovid
703,Emtech China: Warnings of AI causing job losses continue,2018-01-29,"['ai', 'job', 'u', 'expo', 'data']",artificial life,29,1,2018,precovid
704,Meet the Company Trying to Democratize Clinical Trials With AI,2018-01-30,"['clinical trial', 'patient', 'graiver', 'structuring', 'structured', 'structure']",artificial life,30,1,2018,precovid
705,The Emotional Chatbots Are Here to Probe Our Feelings,2018-01-31,"['like', 'likeness', 'kuyda', 'chatbots', 'emote', 'emotional', 'emotion', 'chatbot replika']",automatic number plate recognition,31,1,2018,precovid
706,How to Design Beacons for Humanity's Afterlife,2018-01-31,"['sending', 'yes send', 'human', 'ai', 'civilization']",activity recognition,31,1,2018,precovid
707,3Q: Daron Acemoglu on technology and the future of work,2018-02-01,"['economics', 'economic', 'technological', 'technologically', 'job', 'new technology', 'machine']",machine learning,1,2,2018,precovid
708,Institute launches the MIT Intelligence Quest,2018-02-01,"['mit', 'intelligent', 'research', 'researcher', 'intelligence quest', 'institute', 'institutional']",semantic translation,1,2,2018,precovid
709,What Defines Artificial Intelligence? The Complete WIRED Guide,2018-02-01,"['ai', 'learning', 'learned', 'humanity', 'human', 'make', 'making', 'data']",deep learning,1,2,2018,precovid
710,How Amazon Rebuilt Itself Around Artificial Intelligence,2018-02-01,"['amazon', 'company', 'ai', 'service', 'project']",speech generating device,1,2,2018,precovid
711,AI defeats humans in predicting forex,2018-02-01,"['day brings', 'valley london amsterdam']",neural modeling fields ,1,2,2018,precovid
712,The Limits of Artificial Intelligence and Deep Learning,2018-02-02,"['ai', 'learn', 'deep learning', 'like', 'likely', 'problem']",deep learning,2,2,2018,precovid
713,"To Advance Artificial Intelligence, Reverse-Engineer the Brain",2018-02-03,"['brain', 'algorithm', 'algorithmic', 'human', 'intelligence', 'intelligent', 'layered', 'layer']",intelligent agent,3,2,2018,precovid
714,Eric Schmidt to join MIT as visiting innovation fellow,2018-02-05,"['schmidt', 'mit', 'google', 'innovation', 'new']",information extraction,5,2,2018,precovid
715,"Photo Algorithms ID White Men Fine—Black Women, Not So Much",2018-02-06,"['face', 'service ibm microsoft', 'photo']",computer vision,6,2,2018,precovid
716,Should Data Scientists Adhere to a Hippocratic Oath?,2018-02-08,"['data scientist', 'tuesday', 'like', 'patil']",facial recognition systems,8,2,2018,precovid
717,"To Make AI Smarter, Humans Perform Oddball Low-Paid Tasks",2018-02-09,"['algorithm', 'learning', 'learn', 'human', 'physical', 'clip']",language identification,9,2,2018,precovid
718,Polisis AI Reads Privacy Policies So You Don't Have To,2018-02-09,"['polisis', 'privacy policy', 'data', 'information']",information extraction,9,2,2018,precovid
719,Alumni call on MIT to champion artificial intelligence education,2018-02-09,"['ai', 'mit', 'alumnus', 'say', 'engineering', 'engineer']",deep learning,9,2,2018,precovid
720,Job One for Quantum Computers: Boost Artificial Intelligence,2018-02-10,"['quantum', 'neuron', 'machine', 'data', 'said']",machine learning,10,2,2018,precovid
721,Study finds gender and skin-type bias in commercial artificial-intelligence systems,2018-02-11,"['buolamwini', 'gender', 'skin', 'skinned', 'work', 'working', 'worked', 'program']",speech generating device,11,2,2018,precovid
722,Neural networks everywhere,2018-02-13,"['weight', 'node', 'data', 'neural network']",automatic number plate recognition,13,2,2018,precovid
723,Home Office unveils AI tool for tackling extremist content,2018-02-13,"['removed', 'remove', 'removal', 'content', 'machine', 'error', 'expo']",machine learning,13,2,2018,precovid
724,Gfycat Uses Artificial Intelligence to Fight Deepfakes Porn,2018-02-14,"['gfycat', 'deepfakes', 'deepfake', 'video', 'likely', 'like', 'face']",speech generating device,14,2,2018,precovid
725,Leaders warn NATO is unprepared for AI warfare,2018-02-16,"['nato', 'ai', 'use', 'human', 'expo']",automation,16,2,2018,precovid
726,Robo-picker grasps and packs,2018-02-19,"['robotic', 'robot', 'robotics', 'picking', 'pick', 'picked', 'object', 'rodriguez', 'successfully', 'success', 'successful']",object recognition,19,2,2018,precovid
727,Gartner argues how customer service is becoming more chatbot-centric,2018-02-19,"['gartner', 'customer', 'expo', 'processing', 'process', 'chatbot', 'chatbots']",chatbots,19,2,2018,precovid
728,Sony is working on an AI-powered taxi system,2018-02-20,"['sony', 'ai', 'market', 'taxi', 'use']",computer game,20,2,2018,precovid
729,This Computer Uses Light—Not Electricity—To Train AI Algorithms,2018-02-20,"['chip', 'optical', 'fathom', 'performance', 'perform', 'performs', 'say']",facial recognition,20,2,2018,precovid
730,The Pentagon Wants Your Help Analyzing Satellite Images,2018-02-21,"['trip silicon valley', 'paper order']",artificial intelligence diagnosis,21,2,2018,precovid
731,Experts warn AI poses a ‘clear and present danger’,2018-02-21,"['ai', 'researcher', 'security', 'expert', 'expo']",cybernetics,21,2,2018,precovid
732,"Inside the Panoptic Studio, the Dome That Could Give Robots Super-Senses",2018-02-22,"['robot', 'camera', 'interaction', 'interact', 'data', 'machine']",pattern recognition,22,2,2018,precovid
733,How industry collaboration with academia advances the field of AI,2018-02-22,"['ai', 'industry', 'academia', 'data', 'academic']",artificial life,22,2,2018,precovid
734,Why We Can’t Let Google Monopolize AI,2018-02-23,"['google', 'ai', 'apple', 'assistant', 'company']",semantic translation,23,2,2018,precovid
735,A Short History of Technology Worship,2018-02-26,"['technology', 'technological', 'levandowski', 'human', 'humanity', 'people', 'new']",facial recognition,26,2,2018,precovid
736,MIT launches Task Force on the Work of the Future,2018-02-27,"['mit', 'future', 'technology', 'technological', 'task', 'research', 'researcher']",facial recognition,27,2,2018,precovid
737,Alexa Prize: Amazon's Battle to Bring Conversational AI Into Your Home,2018-02-27,"['team', 'like', 'learning', 'learned', 'amazon', 'user']",deep learning,27,2,2018,precovid
738,#MWC18: Taking responsibility for AI,2018-02-27,"['ai', 'ethical', 'ethically', 'ethic responsibility', 'boddington', 'human']",hybrid intelligent system,27,2,2018,precovid
739,Custom carpentry with help from robots,2018-02-28,"['robotics', 'robotic', 'robot user', 'design', 'designed', 'designing', 'customize', 'customization', 'custom', 'say']",information extraction,28,2,2018,precovid
740,How deep learning can improve cancer diagnoses,2018-02-28,"['deep learning', 'learn', 'medical', 'research', 'researcher', 'use']",game artificial intelligence,28,2,2018,precovid
741,Using AI to Help Stroke Victims When 'Time Is Brain',2018-02-28,"['brain', 'algorithm', 'viz', 'stroke patient']",pattern recognition,28,2,2018,precovid
742,MIT and SenseTime announce effort to advance artificial intelligence research,2018-02-28,"['mit sensetime', 'intelligent', 'intelligence ai', 'research']",game artificial intelligence,28,2,2018,precovid
743,Why Artificial Intelligence Needs To Learn How To Follow Its Gut,2018-03-01,"['child learn', 'learns understand', 'intuitive', 'intuition', 'understands', 'understanding', 'adult']",activity recognition,1,3,2018,precovid
744,JDA Software collaborates with MIT to advance research in intelligent supply chains,2018-03-01,"['jda', 'research', 'researching', 'mit', 'collaboration', 'supply']",semantic search,1,3,2018,precovid
745,Eric Schmidt provides support to MIT Intelligence Quest,2018-03-01,"['mit', 'intelligence', 'schmidt', 'advance', 'advancing', 'research', 'researcher']",intelligent agent,1,3,2018,precovid
746,ML 2.0: Machine learning for many,2018-03-06,"['problem', 'ml', 'model', 'modeling', 'machine', 'data']",machine learning,6,3,2018,precovid
747,MIT Intelligence Quest kicks off,2018-03-07,"['said', 'mit', 'ai', 'intelligence', 'intelligent', 'professor']",intelligent agent,7,3,2018,precovid
748,Atomwise raises $45 million with dreams of transforming pharmaceutical industry through AI,2018-03-08,"['company', 'venture', 'patent', 'patented', 'expo', 'ai']",named-entity extraction,8,3,2018,precovid
749,Boost.ai secures $5 million investment for global expansion,2018-03-09,"['ai', 'secured', 'securing', 'security', 'team', 'expo', 'customer']",image processing,9,3,2018,precovid
750,Gallup poll shows how education is key in consumer use of AI-enabled services,2018-03-09,"['expo', 'service', 'ai', 'product', 'apps']",speech generating device,9,3,2018,precovid
751,"The ""Infinite"" in the Bay Area",2018-03-09,"['mit', 'work', 'working', 'engineering', 'engineer', 'said', 'professor']",deep learning,9,3,2018,precovid
752,AI Has a Hallucination Problem That's Proving Tough to Fix,2018-03-09,"['machine', 'say', 'attack', 'attacker', 'google', 'athalye']",machine learning,9,3,2018,precovid
753,3 Questions: The future of transportation systems,2018-03-13,"['car', 'cost', 'vehicle', 'revolution', 'traveler', 'traveled', 'travel', 'traveling']",intelligent agent,13,3,2018,precovid
754,The autonomous “selfie drone”,2018-03-13,"['drone', 'bry', 'say', 'autonomously skydio', 'autonomous']",automation,13,3,2018,precovid
755,Microsoft co-founder Allen investing $125 million to ‘add common sense’ to AI,2018-03-13,"['ai research', 'common', 'expo', 'project']",semantic search,13,3,2018,precovid
756,How to develop autonomous driving solutions,2018-03-14,"['data', 'develop', 'developing', 'development', 'vehicle', 'car developer', 'building', 'build']",knowledge management,14,3,2018,precovid
757,Finnish researchers to use AI to automate formulation of large information systems,2018-03-14,"['programming', 'programmed', 'technology', 'expo', 'programmer', 'programme', 'development']",knowledge management,14,3,2018,precovid
758,How artificial intelligence is changing the construction industry,2018-03-16,"['construction', 'constructed', 'construct', 'ai', 'building', 'information', 'inform', 'informative', 'project']",information extraction,16,3,2018,precovid
759,Microsoft’s AI can translate Chinese on parity with a human,2018-03-16,"['translate', 'translated', 'translation', 'ai', 'human translator', 'microsoft', 'expo']",robotics,16,3,2018,precovid
760,This Call May Be Monitored for Tone and Emotion,2018-03-19,"['say', 'customer', 'customized', 'like', 'cogito', 'company']",object recognition,19,3,2018,precovid
761,Atomwise raises $45 million with dreams of transforming pharmaceutical industry through AI,2018-03-19,"['company', 'venture', 'patent', 'patented', 'expo', 'ai']",named-entity extraction,19,3,2018,precovid
762,"AI outpaces lawyers in reviewing legal documents, new study finds",2018-03-19,"['lawyer', 'ai', 'legal', 'contract', 'expo']",automatic target recognition,19,3,2018,precovid
763,Why You Should Be Wary of Financial Robo-Advisors,2018-03-20,"['financial', 'money', 'betterment', 'passively', 'better invested', 'passive investing', 'investment', 'investable']",facial recognition,20,3,2018,precovid
764,Macron wants Europeans to relax about data or be left behind in AI,2018-03-21,"['data', 'european', 'like', 'concerned', 'concern', 'expo']",speech recognition,21,3,2018,precovid
765,Soft robotic fish swims alongside real ones in coral reefs,2018-03-21,"['robot', 'robotics', 'robotic fish', 'sofi', 'sofis', 'team', 'say']",computer vision,21,3,2018,precovid
766,Finding the meaning in AI for the customer experience,2018-03-22,"['customer', 'data', 'ai', 'learning', 'learn', 'technology']",language identification,22,3,2018,precovid
767,Mayor of London’s AI study will ensure policies help the city thrive,2018-03-22,"['ai', 'london', 'londoner', 'expo', 'data', 'study']",artificial life,22,3,2018,precovid
768,Two examples of how neural networks are being trained to surpass human reading abilities,2018-03-22,"['data', 'company', 'read', 'reading', 'captricity', 'enterprise']",silent speech interface,22,3,2018,precovid
769,How Gumtree has boosted customer engagement through marketing language generation,2018-03-23,"['marketing', 'marketer', 'gumtree', 'ai technology phrasee']",speech recognition,23,3,2018,precovid
770,Google CEO is (unsurprisingly) impressed with AI in China,2018-03-26,"['ai china', 'google', 'data', 'expo']",data mining,26,3,2018,precovid
771,Applying AI to create facial recognition software,2018-03-28,"['face', 'detection', 'detected', 'detect', 'image', 'ai', 'process', 'processing']",image processing,28,3,2018,precovid
772,Huawei uses AI to ‘Master Photography’,2018-03-28,"['ai', 'huawei', 'camera', 'impressive', 'impressed', 'company']",artificial life,28,3,2018,precovid
773,Samsung plans to open a huge AI research facility in France,2018-03-29,"['data', 'france', 'macron', 'ai research', 'researcher']",semantic search,29,3,2018,precovid
774,How Coders Are Fighting Bias in Facial Recognition Software,2018-03-29,"['company', 'asian', 'software', 'photo', 'facial']",artificial life,29,3,2018,precovid
775,Computer searches telescope data for evidence of distant planets,2018-03-29,"['data', 'disk', 'science', 'machine', 'light']",machine learning,29,3,2018,precovid
776,Emmanuel Macron Talks to WIRED About France's AI Strategy,2018-03-31,"['ai', 'lot', 'company', 'huge', 'way']",artificial life,31,3,2018,precovid
777,The Tricky Business of Measuring Consciousness,2018-04-02,"['conscious', 'consciousness', 'patient', 'brain', 'theory', 'pci']",named-entity extraction,2,4,2018,precovid
778,Google’s AI and search chief is stepping down – his role splitting into two,2018-04-03,"['google', 'ai', 'role', 'giannandrea', 'expo']",machine learning,3,4,2018,precovid
779,2001: A Space Odyssey Predicted the Future—50 Years Ago,2018-04-03,"['hal', 'ibm', 'movie', 'work', 'working', 'worked', 'ai']",handwriting recognition,3,4,2018,precovid
780,Computer system transcribes words users “speak silently”,2018-04-04,"['researcher', 'device', 'like', 'user', 'computing', 'computational', 'computation']",automation,4,4,2018,precovid
781,Apple has poached Google’s AI chief,2018-04-04,"['apple', 'giannandrea', 'ai', 'google', 'expo']",machine learning,4,4,2018,precovid
782,AI could help in the battle against fake news – but smaller steps being taken for now,2018-04-04,"['news', 'ai', 'expo', 'gibbs', 'automate', 'automated', 'automation', 'automating']",automation,4,4,2018,precovid
783,Artificial intelligence in action,2018-04-04,"['ai', 'research', 'researcher', 'model', 'action', 'learning', 'learn', 'learns']",activity recognition,4,4,2018,precovid
784,Google Turns to Users to Improve Its AI Chops Outside the US,2018-04-05,"['google', 'image', 'app', 'apps', 'batra', 'algorithm']",image processing,5,4,2018,precovid
785,"Ex-Google Executive Opens a School for AI, With China's Help",2018-04-05,"['ai', 'china', 'lee', 'u', 'program']",machine learning,5,4,2018,precovid
786,How AI can be utilised in healthcare to deliver better patient management,2018-04-06,"['ai', 'predict', 'predictive', 'expo', 'funding', 'fund', 'healthcare']",semantic search,6,4,2018,precovid
787,Facial recognition provider SenseTime becomes the most funded AI startup,2018-04-09,"['sensetime', 'expo', 'funded ai', 'technology', 'funding']",silent speech interface,9,4,2018,precovid
788,Pioneering digital collaborations,2018-04-10,"['said', 'mit professor', 'science', 'data']",cybernetics,10,4,2018,precovid
789,Microsoft dropped some potential deals over AI ethical concerns,2018-04-10,"['ai', 'microsoft', 'horvitz', 'ethical', 'ethic', 'company']",robotics,10,4,2018,precovid
790,The Web’s Recommendation Engines Are Broken. Can We Fix Them?,2018-04-11,"['content', 'user', 'recommends', 'recommender', 'recommendation pin', 'people']",automatic number plate recognition,11,4,2018,precovid
791,AI Learns a New Trick: Measuring Brain Cells,2018-04-12,"['cell', 'trained', 'train', 'training', 'research', 'researcher', 'neuron', 'neuronal', 'lab']",data mining,12,4,2018,precovid
792,Nutrino raises $8 million in series A round to expand AI-based nutrition data services,2018-04-12,"['nutrino', 'food', 'nutrition data', 'expo']",automatic target recognition,12,4,2018,precovid
793,House of Lords: The UK can lead in AI by putting ethics first,2018-04-16,"['ai', 'uk', 'report', 'reported', 'nation', 'national', 'nationally', 'like']",semantic translation,16,4,2018,precovid
794,"Thanks to AI, These Cameras Will Know What They’re Seeing",2018-04-17,"['modern life', 'open u', 'intel']",intelligent agent,17,4,2018,precovid
795,A new way to automatically build road maps from aerial images,2018-04-17,"['map', 'mapped', 'mapping road', 'roadtracer', 'like', 'likely', 'say']",data mining,17,4,2018,precovid
796,Google's New AI Head Is So Smart He Doesn't Need AI,2018-04-18,"['company', 'google', 'ai', 'dean', 'new']",artificial life,18,4,2018,precovid
797,Huawei wants to develop the first digital assistant with emotions,2018-04-23,"['assistant', 'huawei', 'emotional', 'emotion', 'expo', 'continue', 'continues']",question answering,23,4,2018,precovid
798,Building AI systems that make fair decisions,2018-04-24,"['data', 'learning', 'learned', 'learn', 'mit', 'make', 'making', 'working', 'worked', 'work']",data mining,24,4,2018,precovid
799,Cardiac arrest-detecting AI will expand to further European cities,2018-04-25,"['corti', 'expo', 'ai', 'emergency', 'uk']",robotics,25,4,2018,precovid
800,Some Startups Use Fake Data to Train AI,2018-04-25,"['data', 'startup', 'train', 'training', 'like', 'new']",handwriting recognition,25,4,2018,precovid
801,Gartner: Global business value from AI will reach $1.2 trillion by the end of 2018,2018-04-26,"['ai', 'gartner', 'expo', 'business value']",pattern recognition,26,4,2018,precovid
802,Google Cofounder Sergey Brin Warns of AI's Dark Side,2018-04-27,"['brin', 'ai', 'google', 'letter', 'company']",artificial life,27,4,2018,precovid
803,AI Can Help Cybersecurity—If It Can Fight Through the Hype,2018-04-29,"['malware', 'learning', 'learn', 'learned', 'defense', 'new', 'training', 'train']",semantic translation,29,4,2018,precovid
804,Could Artificial Intelligence Predict the Next 'Avengers: Infinity War'?,2018-04-30,"['movie', 'data', 'company', 'predicting', 'predict', 'predicts', 'prediction likely', 'like']",intelligent word recognition,30,4,2018,precovid
805,Does Your Doctor Need a Voice Assistant?,2018-05-01,"['medical', 'medically', 'medication', 'doctor', 'listen', 'listening patient', 'physician']",intelligent agent,1,5,2018,precovid
806,Thousands of AI researchers are boycotting a science journal,2018-05-02,"['research', 'ai researcher', 'journal', 'expo', 'learning', 'learn']",semantic search,2,5,2018,precovid
807,What Mark Zuckerberg Gets Wrong—and Right—About Hate Speech,2018-05-02,"['testified congress', 'transformed offensive holocaust']",facial recognition systems,2,5,2018,precovid
808,Your Instagram #Dogs and #Cats Are Training Facebook's AI,2018-05-02,"['photo', 'facebook', 'training', 'train', 'trained', 'instagram', 'image']",semantic translation,2,5,2018,precovid
809,How Artificial Intelligence Can—and Can't—Fix Facebook,2018-05-03,"['facebook', 'schroepfer', 'ai', 'company', 'say', 'saying']",artificial life,3,5,2018,precovid
810,Facebook trained its AI using 3.5 billion Instagram images,2018-05-04,"['image', 'set', 'facebook', 'training', 'trained', 'train', 'million']",semantic translation,4,5,2018,precovid
811,Chinese-American Elites Lament a Brewing Trade War,2018-05-06,"['u china', 'said', 'chinese', 'country']",silent speech interface,6,5,2018,precovid
812,Microsoft Charts Its Own Path on Artificial Intelligence,2018-05-07,"['chip', 'microsoft', 'google', 'software company']",robotics,7,5,2018,precovid
813,Self-driving cars for country roads,2018-05-07,"['road', 'map', 'mapped', 'mapping', 'driving car', 'like', 'drive']",handwriting recognition,7,5,2018,precovid
814,Celebrating 21st century statistics,2018-05-08,"['statistic', 'data', 'science', 'talk', 'talked', 'mit']",cybernetics,8,5,2018,precovid
815,Google launches cross-platform ML Kit APIs to simplify AI integration,2018-05-09,"['google', 'developer', 'ml kit', 'apis', 'api']",deep learning,9,5,2018,precovid
816,"AI Isn’t a Crystal Ball, But It Might Be a Mirror",2018-05-09,"['risk', 'algorithm', 'defendant', 'predictive', 'prediction', 'predict', 'training', 'train', 'trained']",named-entity extraction,9,5,2018,precovid
817,Want to Prove Your Business Is Fair? Audit Your Algorithm,2018-05-09,"['algorithm', 'algorithmic', 'company', 'rentlogic', 'auditing', 'audit', 'fox']",object recognition,9,5,2018,precovid
818,Virtually Brainy: AI wires itself to navigate like mammals,2018-05-10,"['ai', 'expo', 'cell', 'navigate', 'navigating', 'mammal']",data mining,10,5,2018,precovid
819,The Trump Administration Plays Catch-Up on Artificial Intelligence,2018-05-11,"['ai', 'technology', 'government', 'administration', 'white']",semantic translation,11,5,2018,precovid
